CVE-2014-3610,264,,DoS,2014-11-10,2015-03-25,4.9,None,Local,Low,Not required,None,None,Complete,wrmsr_interception,kvm_set_msr,handle_wrmsr,is_noncanonical_address,get_canonical
CVE-2014-3601,189,,DoS Mem. Corr.,2014-08-31,2015-06-03,4.3,None,Local Network,High,Single system,None,None,Complete,kvm_unpin_pages,kvm_iommu_map_pages
CVE-2014-3535,119,,DoS Overflow,2014-09-28,2014-11-13,7.8,None,Remote,Low,Not required,None,None,Complete,NA,__netdev_printk,netdev_printk
CVE-2014-3534,264,,+Priv,2014-08-01,2014-10-17,7.2,None,Local,Low,Not required,Complete,Complete,Complete,__poke_user,__poke_user_compat
CVE-2014-3186,119,,DoS Exec Code Overflow,2014-09-28,2015-05-13,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,picolcd_raw_event
CVE-2014-3185,119,,DoS Exec Code Overflow Mem. Corr.,2014-09-28,2015-05-11,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,command_port_read_callback
CVE-2014-3184,119,,DoS Overflow,2014-09-28,2015-05-11,4.7,None,Local,Medium,Not required,None,None,Complete,lg_report_fixup,sp_report_fixup,pl_report_fixup,ch_report_fixup,kye_report_fixup,mr_report_fixup
CVE-2014-3183,119,,DoS Exec Code Overflow,2014-09-28,2014-09-29,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,logi_dj_ll_raw_request
CVE-2014-3182,119,,DoS Exec Code Overflow,2014-09-28,2015-05-13,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,logi_dj_raw_event
CVE-2014-3181,119,,DoS Exec Code Overflow,2014-09-28,2015-03-25,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,magicmouse_raw_event
CVE-2014-3153,264,1,+Priv,2014-06-07,2014-12-11,7.2,None,Local,Low,Not required,Complete,Complete,Complete,futex_requeue,futex_wait_requeue_pi
CVE-2014-3145,189,,DoS,2014-05-11,2014-07-24,4.9,None,Local,Low,Not required,None,None,Complete,__skb_get_nlattr,__skb_get_nlattr_nest
CVE-2014-3144,189,,DoS,2014-05-11,2014-07-24,4.9,None,Local,Low,Not required,None,None,Complete,__skb_get_nlattr,__skb_get_nlattr_nest
CVE-2014-3122,264,,DoS,2014-05-11,2014-07-17,4.9,None,Local,Low,Not required,None,None,Complete,munlock_vma_page,mlock_vma_page,try_to_unmap_cluster
CVE-2014-2889,189,,DoS +Priv,2014-04-26,2014-04-28,4.6,None,Local,Low,Not required,Partial,Partial,Partial,bpf_jit_compile
CVE-2014-2851,189,,DoS Overflow +Priv,2014-04-14,2014-07-17,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,NA
CVE-2014-2739,20,,DoS,2014-04-14,2014-04-24,4.6,None,Local Network,High,Not required,None,None,Complete,NA
CVE-2014-2706,362,,DoS,2014-04-14,2014-12-06,7.1,None,Remote,Medium,Not required,None,None,Complete,ieee80211_sta_ps_deliver_wakeup,sta_info_alloc,NA,ieee80211_tx_h_unicast_ps_buf
CVE-2014-2678,,,DoS,2014-04-01,2014-07-17,4.7,None,Local,Medium,Not required,None,None,Complete,NA
CVE-2014-2673,20,,DoS,2014-04-01,2014-04-19,4.7,None,Local,Medium,Not required,None,None,Complete,arch_dup_task_struct
CVE-2014-2672,362,,DoS,2014-04-01,2014-04-19,7.1,None,Remote,Medium,Not required,None,None,Complete,ath_tx_aggr_sleep
CVE-2014-2648,,,Exec Code,2014-10-09,2014-10-10,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,NA
CVE-2014-2608,,,+Priv +Info,2014-12-10,2014-12-12,2.1,None,Local,Low,Not required,Partial,None,None,NA
CVE-2014-2568,399,,+Info,2014-03-24,2014-07-17,2.9,None,Local Network,Medium,Not required,Partial,None,None,NA
CVE-2014-2523,20,,DoS Exec Code,2014-03-24,2014-04-01,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,dccp_new
CVE-2014-2309,189,,DoS,2014-03-11,2015-03-25,6.1,None,Local Network,Low,Not required,None,None,Complete,ip6_route_ad
CVE-2014-2039,20,,DoS,2014-02-28,2014-07-17,4.9,None,Local,Low,Not required,None,None,Complete,NA
CVE-2014-2038,20,,+Info,2014-02-28,2014-03-16,3.7,None,Local,High,Not required,Partial,Partial,Partial,nfs_can_extend_write
CVE-2014-1874,20,,DoS,2014-02-28,2015-05-11,4.4,None,Local,Medium,Single system,None,None,Complete,security_context_to_sid_core
CVE-2014-1739,200,,+Info,2014-06-23,2014-12-06,1.7,None,Local,Low,Single system,Partial,None,None,media_device_enum_entities
CVE-2014-1738,264,,+Info,2014-05-11,2014-07-17,4.9,None,Local,Low,Not required,Complete,None,None,raw_cmd_copyout
CVE-2014-1737,264,,+Priv,2014-05-11,2014-07-17,7.2,None,Local,Low,Not required,Complete,Complete,Complete,raw_cmd_copyin
CVE-2014-1690,119,,Overflow +Info,2014-02-28,2014-04-19,2.6,None,Remote,High,Not required,Partial,None,None,NA
CVE-2014-1446,399,,+Info,2014-01-18,2014-03-16,1.9,None,Local,Medium,Not required,Partial,None,None,yam_ioctl
CVE-2014-1445,399,,+Info,2014-01-18,2014-03-16,2.1,None,Local,Low,Not required,Partial,None,None,wanxl_ioctl
CVE-2014-1444,399,,+Info,2014-01-18,2014-03-16,1.7,None,Local,Low,Single system,Partial,None,None,fst_get_iface
CVE-2014-9420,399,,DoS,2014-12-25,2015-06-03,4.9,None,Local,Low,Not required,None,None,Complete,rock_continue
CVE-2014-9419,200,,Bypass +Info,2014-12-25,2015-06-03,2.1,None,Local,Low,Not required,Partial,None,None,NA
CVE-2014-9322,264,1,+Priv,2014-12-17,2015-06-03,7.2,User,Local,Low,Not required,Complete,Complete,Complete,NA
CVE-2014-9090,17,,DoS,2014-11-29,2015-06-03,4.9,None,Local,Low,Not required,None,None,Complete,NA
CVE-2014-8989,264,,Bypass,2014-11-29,2015-04-17,4.6,User,Local,Low,Not required,Partial,Partial,Partial,NA
CVE-2014-8884,119,,DoS Overflow +Priv,2014-11-29,2015-04-13,6.1,User,Local,Low,Not required,Partial,Partial,Complete,ttusbdecfe_dvbs_diseqc_send_master_cmd
CVE-2014-8709,200,,+Info,2014-11-10,2015-04-06,5.0,None,Remote,Low,Not required,Partial,None,None,ieee80211_fragment
CVE-2014-8559,399,,DoS,2014-11-10,2015-06-03,4.9,None,Local,Low,Not required,None,None,Complete,NA
CVE-2014-8481,399,,DoS,2014-11-10,2014-11-20,4.9,None,Local,Low,Not required,None,None,Complete,x86_decode_insn
CVE-2014-8480,399,,DoS,2014-11-10,2014-11-10,4.9,None,Local,Low,Not required,None,None,Complete,NA
CVE-2014-8369,189,,DoS,2014-11-10,2015-06-03,4.6,None,Local,Low,Not required,Partial,Partial,Partial,kvm_pin_pages,kvm_iommu_map_pages
CVE-2014-8134,264,,Bypass,2014-12-12,2015-06-03,2.1,None,Local,Low,Not required,Partial,None,None,NA
CVE-2014-8133,264,,Bypass,2014-12-17,2015-06-03,2.1,None,Local,Low,Not required,None,Partial,None,tls_desc_okay,do_set_thread_area,regset_tls_set
CVE-2014-8086,362,,DoS,2014-10-13,2015-03-23,4.9,None,Local,Low,Not required,None,None,Complete,NA
CVE-2014-7975,264,,DoS,2014-10-13,2014-12-30,4.9,None,Local,Low,Not required,None,None,Complete,do_umoun
CVE-2014-7970,399,,DoS,2014-10-13,2015-06-03,4.9,None,Local,Low,Not required,None,None,Complete,NA
CVE-2014-7843,17,,DoS,2014-11-29,2015-01-22,4.9,None,Local,Low,Not required,None,None,Complete,NA
CVE-2014-7842,362,,DoS,2014-11-29,2015-06-03,4.9,None,Local,Low,Not required,None,None,Complete,handle_emulation_failure
CVE-2014-7841,399,,DoS,2014-11-29,2015-04-06,5.0,None,Remote,Low,Not required,None,None,Partial,sctp_process_param
CVE-2014-7826,264,,DoS +Priv,2014-11-10,2015-03-25,4.6,User,Local,Low,Not required,Partial,Partial,Partial,ftrace_syscall_exit,perf_syscall_enter,perf_syscall_exit,ftrace_syscall_enter
CVE-2014-7825,119,,DoS Overflow Bypass,2014-11-10,2015-03-18,4.9,None,Local,Low,Not required,None,None,Complete,ftrace_syscall_exit,perf_syscall_enter,perf_syscall_exit,ftrace_syscall_enter
CVE-2014-7284,200,,+Info,2014-10-13,2014-10-15,6.4,None,Remote,Low,Not required,None,Partial,Partial,NA,__net_random_once_deferred,__net_get_random_once
CVE-2014-7283,399,,DoS,2014-10-13,2014-12-10,4.9,None,Local,Low,Not required,None,None,Complete,xfs_da3_fixhashpath
CVE-2014-7207,,,DoS,2014-11-10,2014-12-23,4.9,None,Local,Low,Not required,Complete,None,None,NA
CVE-2014-7145,399,,DoS,2014-09-28,2015-03-18,7.8,None,Remote,Low,Not required,None,None,Complete,SMB2_tcon
CVE-2014-6418,399,,DoS,2014-09-28,2014-10-24,7.1,None,Remote,Medium,Not required,None,None,Complete,ceph_x_decrypt,process_one_ticket,ceph_x_proc_ticket_reply,ceph_x_verify_authorizer_reply
CVE-2014-6417,399,,DoS,2014-09-28,2014-10-24,7.8,None,Remote,Low,Not required,None,None,Complete,ceph_x_decrypt,process_one_ticket,ceph_x_proc_ticket_reply,ceph_x_verify_authorizer_reply
CVE-2014-6416,119,,DoS Overflow Mem. Corr.,2014-09-28,2015-04-29,7.8,None,Remote,Low,Not required,None,None,Complete,ceph_x_decrypt,process_one_ticket,ceph_x_proc_ticket_reply,ceph_x_verify_authorizer_reply
CVE-2014-6410,399,,DoS,2014-09-28,2014-12-06,4.7,None,Local,Medium,Not required,None,None,Complete,__udf_read_inode
CVE-2014-5472,20,,DoS,2014-08-31,2015-05-11,4.0,None,Local,High,Not required,None,None,Complete,parse_rock_ridge_inode,isofs_iget,parse_rock_ridge_inode_internal,__isofs_iget,isofs_read_inode,isofs_iget_reloc
CVE-2014-5471,399,,DoS,2014-08-31,2015-05-11,4.0,None,Local,High,Not required,None,None,Complete,parse_rock_ridge_inode,isofs_iget,parse_rock_ridge_inode_internal,__isofs_iget,isofs_read_inode,isofs_iget_reloc
CVE-2014-5207,264,1,DoS +Priv,2014-08-18,2014-11-13,6.0,None,Local,High,Single system,Complete,Complete,Complete,clone_mnt,do_remount,do_new_mount,NA
CVE-2014-5206,264,,Bypass,2014-08-18,2014-11-13,7.2,None,Local,Low,Not required,Complete,Complete,Complete,do_remount,NA
CVE-2014-5077,,,DoS,2014-08-01,2014-12-23,5.4,None,Remote,High,Not required,None,None,Complete,sctp_assoc_update
CVE-2014-5045,59,,DoS,2014-08-01,2015-03-11,6.2,None,Local,High,Not required,Complete,Complete,Complete,mountpoint_last
CVE-2014-4943,264,1,+Priv,2014-07-19,2015-03-25,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,pppol2tp_getsockopt,pppol2tp_setsockopt
CVE-2014-4699,362,1,DoS +Priv,2014-07-09,2014-08-01,6.9,None,Local,Medium,Not required,Complete,Complete,Complete,NA
CVE-2014-4667,20,,DoS,2014-07-03,2015-05-11,5.0,None,Remote,Low,Not required,None,None,Partial,sctp_association_free
CVE-2014-4656,189,,DoS Overflow,2014-07-03,2015-05-11,4.9,None,Local,Low,Not required,None,None,Complete,snd_ctl_add
CVE-2014-4655,189,,DoS Overflow Bypass,2014-07-03,2015-05-11,4.9,None,Local,Low,Not required,None,None,Complete,snd_ctl_elem_add
CVE-2014-4654,,,DoS,2014-07-03,2015-05-11,4.9,None,Local,Low,Not required,None,None,Complete,snd_ctl_elem_add
CVE-2014-4653,,,DoS +Info,2014-07-03,2015-05-11,6.6,None,Local,Low,Not required,Complete,None,Complete,snd_ctl_add,snd_ctl_replace,snd_ctl_elem_write,snd_ctl_tlv_ioctl
CVE-2014-4652,362,,+Info,2014-07-03,2015-05-11,4.7,None,Local,Medium,Not required,Complete,None,None,snd_ctl_elem_add,NA,snd_ctl_elem_user_put,snd_ctl_elem_user_tlv,snd_card_new,snd_ctl_elem_user_get
CVE-2014-4611,20,,DoS Overflow Mem. Corr.,2014-07-03,2014-09-28,5.0,None,Remote,Low,Not required,None,None,Partial,lz4_uncompress
CVE-2014-4608,119,,DoS Overflow Mem. Corr.,2014-07-03,2015-06-03,5.0,None,Remote,Low,Not required,None,None,Partial,lzo1x_decompress_safe
CVE-2014-4508,189,,DoS,2014-06-23,2015-03-25,4.7,None,Local,Medium,Not required,None,None,Complete,NA
CVE-2014-4323,264,,+Priv,2014-12-12,2014-12-12,7.5,User,Remote,Low,Not required,Partial,Partial,Partial,NA
CVE-2014-4322,119,,DoS Overflow +Priv Mem. Corr.,2014-12-24,2014-12-24,7.2,User,Local,Low,Not required,Complete,Complete,Complete,NA
CVE-2014-4171,,,DoS,2014-06-23,2015-03-18,4.7,None,Local,Medium,Not required,None,None,Complete,NA
CVE-2014-4157,264,,Bypass,2014-06-23,2014-06-25,4.6,None,Local,Low,Not required,Partial,Partial,Partial,NA
CVE-2012-6546,200,,+Info,2013-03-15,2013-06-04,1.9,None,Local,Medium,Not required,Partial,None,None,pvc_getname
